
Intervalo,oi,px,ei,errors
0-10,1,0.049124271210824674,2.456213560541234,0.8633442824234333
11-12,5,0.08589996297151556,4.294998148575778,0.11572242718577078
13-14,8,0.14580859572978516,7.290429786489258,0.06906175666553366
15-16,14,0.18690545396168756,9.345272698084377,2.3184434478450218
17-18,11,0.18722010960808844,9.361005480404422,0.28696736059899003
19-20,6,0.1505221527849088,7.52610763924544,0.3094567123141484
21-22,4,0.09924740751367195,4.962370375683597,0.18663595618168746
23-24,0,0.05462572146179416,2.731286073089708,2.731286073089708
25-26,1,0.02547218914092729,1.2736094570463645,0.05877950620657264
27-29,0,0.01517413561679637,0.7587067808398185,0.7587067808398185

Totales,50,1.0,Chi calculada,7.698404303350684
,,,Chi tablas,16.918977604620448
