#pse,Numero camion,#pse,Hora de llegada,Hora de entrada a descarga,#pse,Tiempo de descarga,Hora de salida del camion,Tiempo de espera
0.0787,0,0.6378,23:40,23:40,0.2835,30,00:10,00:00
,,0.9055,00:30,00:30,0.8661,50,01:20,00:00
,,0.0394,00:55,01:20,0.8189,45,02:05,00:25
,,0.0551,01:20,02:05,0.1417,25,02:30,00:45
,,0.9528,02:15,02:30,0.8504,50,03:20,00:15
,,0.7165,03:00,03:30,0.9291,55,04:25,00:30
,,0.3543,03:35,04:25,0.378,35,05:00,00:50
,,0.874,04:25,05:00,0.2047,30,05:30,00:35
,,0.2598,05:00,05:30,0.4094,35,06:05,00:30
,,0.5276,05:40,06:05,0.9921,60,07:05,00:25
,,0.6693,06:20,07:05,0.9449,55,08:00,00:45
,,0.685,07:05,08:00,0.2677,30,08:30,00:55
****,****,0.5748,07:45,****,****,****,****,****
Costo Total,$6054.167
,
